symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
ABX.TO,ABX,Barrick Mining Corporation,Basic Materials,,CA,XIU.TO,XMA.TO
AEM.TO,AEM,Agnico Eagle Mines Limited,Basic Materials,,CA,XIU.TO,XMA.TO
ATD.TO,ATD,Alimentation Couche-Tard Inc.,Consumer Cyclical,,CA,XIU.TO,XIU.TO
BAM.TO,BAM,Brookfield Asset Management Ltd.,Financial Services,,CA,XIU.TO,XFN.TO
BCE.TO,BCE,BCE Inc.,Communication Services,,CA,XIU.TO,XTL.TO
BIP.UN.TO,BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,,CA,XIU.TO,XUT.TO
BMO.TO,BMO,Bank of Montreal,Financial Services,,CA,XIU.TO,XFN.TO
BN.TO,BN,Brookfield Corporation,Financial Services,,CA,XIU.TO,XFN.TO
BNS.TO,BNS,Bank of Nova Scotia,Financial Services,,CA,XIU.TO,XFN.TO
CAE.TO,CAE,CAE Inc.,Industrials,,CA,XIU.TO,XIN.TO
CCL.B.TO,CCL.B,CCL Industries Inc.,Consumer Cyclical,,CA,XIU.TO,XIU.TO
CCO.TO,CCO,Cameco Corporation,Energy,,CA,XIU.TO,XEG.TO
CLS.TO,CLS,Celestica Inc.,Information Technology,,CA,XIU.TO,XIT.TO
CM.TO,CM,Canadian Imperial Bank of Commerce,Financial Services,,CA,XIU.TO,XFN.TO
CNQ.TO,CNQ,Canadian Natural Resources Limited,Energy,,CA,XIU.TO,XEG.TO
CNR.TO,CNR,Canadian National Railway Company,Industrials,,CA,XIU.TO,XIN.TO
CP.TO,CP,Canadian Pacific Kansas City Limited,Industrials,,CA,XIU.TO,XIN.TO
CSU.TO,CSU,Constellation Software Inc.,Information Technology,,CA,XIU.TO,XIT.TO
CTC.A.TO,CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,,CA,XIU.TO,XIU.TO
CVE.TO,CVE,Cenovus Energy Inc.,Energy,,CA,XIU.TO,XEG.TO
DOL.TO,DOL,Dollarama Inc.,Consumer Staples,,CA,XIU.TO,XST.TO
EMA.TO,EMA,Emera Incorporated,Utilities,,CA,XIU.TO,XUT.TO
ENB.TO,ENB,Enbridge Inc.,Energy,,CA,XIU.TO,XEG.TO
FFH.TO,FFH,Fairfax Financial Holdings Limited,Financial Services,,CA,XIU.TO,XFN.TO
FM.TO,FM,First Quantum Minerals Ltd.,Basic Materials,,CA,XIU.TO,XMA.TO
FNV.TO,FNV,Franco-Nevada Corporation,Basic Materials,,CA,XIU.TO,XMA.TO
FSV.TO,FSV,FirstService Corporation,Real Estate,,CA,XIU.TO,XRE.TO
FTS.TO,FTS,Fortis Inc.,Utilities,,CA,XIU.TO,XUT.TO
GIB.A.TO,GIB.A,CGI Inc.,Information Technology,,CA,XIU.TO,XIT.TO
GIL.TO,GIL,Gildan Activewear Inc.,Consumer Cyclical,,CA,XIU.TO,XIU.TO
H.TO,H,Hydro One Limited,Utilities,,CA,XIU.TO,XUT.TO
IFC.TO,IFC,Intact Financial Corporation,Financial Services,,CA,XIU.TO,XFN.TO
IMO.TO,IMO,Imperial Oil Limited,Energy,,CA,XIU.TO,XEG.TO
K.TO,K,Kinross Gold Corporation,Basic Materials,,CA,XIU.TO,XMA.TO
L.TO,L,Loblaw Companies Limited,Consumer Staples,,CA,XIU.TO,XST.TO
MFC.TO,MFC,Manulife Financial Corporation,Financial Services,,CA,XIU.TO,XFN.TO
MG.TO,MG,Magna International Inc.,Consumer Cyclical,,CA,XIU.TO,XIU.TO
MRU.TO,MRU,Metro Inc.,Consumer Staples,,CA,XIU.TO,XST.TO
NTR.TO,NTR,Nutrien Ltd.,Basic Materials,,CA,XIU.TO,XMA.TO
OTEX.TO,OTEX,Open Text Corporation,Information Technology,,CA,XIU.TO,XIT.TO
POW.TO,POW,Power Corporation of Canada,Financial Services,,CA,XIU.TO,XFN.TO
PPL.TO,PPL,Pembina Pipeline Corporation,Energy,,CA,XIU.TO,XEG.TO
