feature,importance
num__mkt_ret_1d,0.23801202638620217
num__mkt_volatility_60d,0.16484907059125947
num__mkt_ret_60d,0.08871330601171462
num__mkt_ret_20d,0.06967148713020452
num__mkt_volatility_20d,0.06643888389300918
num__sector_ret_1d,0.06492777320587875
num__mkt_ret_120d,0.062191297916908556
num__vol_ratio_60d_vs_mkt,0.04352499999968173
num__sector_volatility_60d,0.03034145040995465
num__gap_open_prev_close,0.011882058898145942
num__sector_volatility_20d,0.011676791881710648
num__ret_1d,0.01147069336378201
num__vol_ratio_60d_vs_sector,0.010242706375952215
num__sector_ret_60d,0.00868260495124988
num__sector_ret_120d,0.007581791982558359
num__ret_5d,0.006994047868502675
num__sector_ret_20d,0.006532080251368656
num__volatility_60d_xsrank,0.006386457692208633
num__intraday_range,0.005797536241259287
num__volume_spike_20d,0.005723684221440053
num__beta_60d_vs_mkt,0.005113017507698405
num__rel_drawdown_252d_vs_mkt,0.005059425030917514
num__idio_vol_60d_vs_mkt_xsrank,0.0046542897903366475
num__trailing_max_drawdown_252d,0.003957674193105131
num__downside_vol_60d_xsrank,0.003785177027899908
num__trailing_max_drawdown_252d_xsrank,0.0031982472469309605
cat__country_US,0.0027762994307961035
num__price_to_ma20,0.0027551948010236583
num__vol_ratio_20d_vs_mkt,0.002744783074802901
num__rel_drawdown_252d_vs_mkt_xsrank,0.0026600855985021835
num__si_chg_3period,0.002598453354632903
regime_vol__regime_vol_elevated,0.0023378335578657368
cat__country_CA,0.002073612054600072
num__idio_vol_60d_vs_mkt,0.00194933364059637
num__dist_from_60d_high_xsrank,0.0019347833157464709
num__avg_intraday_range_20d,0.0017709925925938454
num__volatility_60d,0.0015907849706315261
num__rel_drawdown_252d_vs_sector,0.001387122122377223
num__dist_from_252d_high_xsrank,0.0012706610795336936
num__corr_60d_vs_mkt,0.0011376961447713443
cat__sector_Energy,0.0011191800213438525
num__trailing_max_drawdown_60d,0.0010530820849415175
num__upside_vol_60d,0.0009570266721291111
num__trailing_max_drawdown_60d_xsrank,0.0009032251037171794
num__rel_drawdown_60d_vs_mkt,0.0008519007552964088
num__si_chg_1period,0.000829447188625731
num__ret_20d,0.0008088827902965019
num__rel_drawdown_60d_vs_mkt_xsrank,0.0007566540696464567
num__idio_vol_60d_vs_sector,0.0007365168478585922
num__downside_vol_60d,0.0007260771160967975
num__rel_slope_20d_vs_mkt,0.000687146384964084
num__dist_from_252d_high,0.000683133433875099
num__sir_zscore_1y,0.0006006058520497756
num__days_since_252d_high,0.0005952000142665924
num__beta_60d_vs_sector,0.0005887878961656288
num__dist_from_60d_high,0.0005677698715026665
cat__sector_Information Technology,0.0005543228516031702
num__price_to_ma60_xsrank,0.0005486967367635598
num__log_price_slope_20d,0.0005180764711197115
num__price_to_ma60,0.000491515553063052
num__rel_drawdown_60d_vs_sector,0.00048467682359979835
cat__sector_Financials,0.00048318282000156575
num__rel_ret_20d_vs_mkt,0.0004227293173525157
num__ret_20d_xsrank,0.00037278725316661085
cat__sector_Consumer Discretionary,0.00037178750483271556
num__price_to_ma120,0.0003694549345689938
num__volatility_20d,0.000346391178243531
cat__sector_Health Care,0.0003333691928413291
num__log_price_slope_60d,0.00032807956135250555
num__short_interest_ratio,0.0003072773981297761
num__price_to_ma120_xsrank,0.0003047368652237323
num__vol_ratio_20d_vs_sector,0.000302555010552023
num__ret_120d,0.0002852056299990479
num__trend_accel_20_60,0.00025370385164496286
num__corr_60d_vs_sector,0.0002517130912267167
num__ma60_to_ma120,0.00024673804424768704
num__sir_zscore_1y_xsrank,0.00024422628630071404
num__rel_drawdown_60d_vs_sector_xsrank,0.00019998348743542293
num__avg_dollar_volume_20d,0.00019820717521926926
num__ret_120d_xsrank,0.0001977325496653256
num__ma20_to_ma60,0.00018963926051156107
num__log_price_slope_120d,0.00018919662353385593
num__rel_ret_60d_vs_mkt,0.0001758053993903722
num__rel_ret_120d_vs_sector,0.00016856592820080772
cat__sector_Consumer Staples,0.00016590199144825835
num__ret_60d_xsrank,0.0001594685108124936
